Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$110K - $174K (Glassdoor est.),"Angaza creates software that enables businesses to sell life-changing products to anyone, anywhere. Our technology uses an IoT network of connected devices, mobile payments, and machine learning to accelerate the adoption of transformative products, such as solar lights, smartphones, and cookstoves.

Over 2 billion people across the globe live off-grid or are unbanked. Angaza’s technology empowers distributors to make transformative products like clean cookstoves and water pumps accessible and affordable to these individuals in emerging markets. When a family in Tanzania (or Nicaragua, or Nigeria, or Bangladesh) purchases a life-changing product, Angaza’s complete solution enables them to afford the product with convenient incremental payments. With Angaza’s B2B technology solution, distribution businesses in emerging markets can grow their revenue by over 8x by extending their sales and credit offerings to this consumer base.

Today, businesses in 50+ countries around the world have improved the daily lives of over 13 million people through the Angaza platform while supporting 60,000 jobs and averting 1.5 billion kg in CO2 emission.",4.6,Angaza,"San Francisco, CA","51 to 200 Employees
Founded
2010",2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Data Scientist,$110K - $174K (Glassdoor est.),"Tinder brings people together. With tens of millions of users and a presence in every country on earth, our reach is expansive and rapidly growing.

The Analytics team powers data-informed decision-making at Tinder, and we are hiring a Senior Data Scientist to join our growing team. We are looking for creative, tenacious problem solvers who are passionate about our product and excited to work with our rich, sophisticated data. As a Senior Data Scientist on Analytics, you will partner with multiple teams - including Product, Marketing, Engineering, and Finance - to improve our extraordinary platform. You will maximize a comprehensive dataset of user behaviors to develop experiments, forecasting models, automated reports, and various exploratory insights to guide our business decisions. You will also be a leader on the Analytics team, mentoring more junior data scientists, driving Analytics-led projects, and pushing the team to improve their knowledge and toolset.

An effective Senior Data Scientist at Tinder must have a passion and aptitude for turning sophisticated problems into concrete hypotheses that can be answered through meticulous data analysis and A/B testing. You must be able to disseminate findings and recommendations to a variety of partners across the organization via presentations, reports, and dashboards. You must also distinguish yourself as a leader, both on the Analytics team and across the company. In this role, your insights will influence the performance of our business, the experience of our users, and the direction of analytics at Tinder.",4.0,Tinder,"Los Angeles, CA","201 to 500 Employees
Founded
2012",2012,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable
Senior Data Scientist,$110K - $174K (Glassdoor est.),"Tinder brings people together. With tens of millions of users and a presence in every country on earth, our reach is expansive and rapidly growing.

The Analytics team powers data-informed decision-making at Tinder, and we are hiring a Senior Data Scientist to join our growing team. We are looking for creative, tenacious problem solvers who are passionate about our product and excited to work with our rich, sophisticated data. As a Senior Data Scientist on Analytics, you will partner with multiple teams - including Product, Marketing, Engineering, and Finance - to improve our extraordinary platform. You will maximize a comprehensive dataset of user behaviors to develop experiments, forecasting models, automated reports, and various exploratory insights to guide our business decisions. You will also be a leader on the Analytics team, mentoring more junior data scientists, driving Analytics-led projects, and pushing the team to improve their knowledge and toolset.

An effective Senior Data Scientist at Tinder must have a passion and aptitude for turning sophisticated problems into concrete hypotheses that can be answered through meticulous data analysis and A/B testing. You must be able to disseminate findings and recommendations to a variety of partners across the organization via presentations, reports, and dashboards. You must also distinguish yourself as a leader, both on the Analytics team and across the company. In this role, your insights will influence the performance of our business, the experience of our users, and the direction of analytics at Tinder.",4.0,Tinder,"Los Angeles, CA","201 to 500 Employees
Founded
2012",2012,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$110K - $174K (Glassdoor est.),"Job Description :
Infostretch is seeking a Data Scientist with a minimum of 8+ years of experience based in our Pleasanton CA location.
Please note that to start the role it will be remote for 3 - 6 months but once this Covid19 is behind us - it will be an in-house role.

Qualifications for Data Scientist
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw
insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial
neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions,
statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
We’re looking for someone with 5-7 years of experience manipulating data sets and building statistical
models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative
field, and is familiar with the following software/tools:
Coding knowledge and experience with several languages: C, C++, Java,
JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest,
Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression,
simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL,
etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot etc",4.2,Infostretch Corporation,"Pleasanton, CA","1001 to 5000 Employees
Founded
2004",2004,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist 3,$110K - $174K (Glassdoor est.),"Data Scientist 3-21000COG

Applicants are required to read, write, and speak the following languages: English
Preferred Qualifications

The Oracle DataFox team is looking for a Senior Data Scientist to help us build the premier Company Intelligence Platform powering recommendations and insights on top of high quality company data.
This is a unique opportunity to build innovative machine learning products in the Oracle Cloud that power the world's largest businesses.
Detailed Description:",3.7,Oracle,"Redwood City, CA","10000+ Employees
Founded
1977",1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data Scientist 3,$110K - $174K (Glassdoor est.),"Data Scientist 3-21000COG

Applicants are required to read, write, and speak the following languages: English
Preferred Qualifications

The Oracle DataFox team is looking for a Senior Data Scientist to help us build the premier Company Intelligence Platform powering recommendations and insights on top of high quality company data.
This is a unique opportunity to build innovative machine learning products in the Oracle Cloud that power the world's largest businesses.
Detailed Description:",3.7,Oracle,"Redwood City, CA","10000+ Employees
Founded
1977",1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data Scientist,$110K - $174K (Glassdoor est.),"Responsibilities

• Make recommendations regarding the collection, extraction, and transformation of large data sets
• Interpret data and analyze results
• Translate analytical insights into clear recommendations; identify trends and patterns to inform business decisions and product design
• Leverage Python to analyze complex data
• Design and develop customized interactive reports and dashboards in Tableau; schedule in Tableau Server
• Define and develop a data migration strategy between different products and platforms
• Develop creative ways to identify and use data that significantly impact key business metrics
• Assess the potential usefulness and validity of new data sources
• Utilize statistical approaches to build predictive models
• Mentor other team members/ analysts to grow their skills and careers",4.8,Colsh Consultants,"Santa Clara, CA","Unknown
Founded
2005",2005,Unknown,IT Services,Information Technology,Unknown / Non-Applicable
"Data Scientist, Biology",$110K - $174K (Glassdoor est.),"Who we are

Atreca is an integrated biotechnology company located in South San Francisco, California (moving in 2021 to a new campus in San Carlos, CA). We apply our proprietary drug discovery platform to profile clinically relevant, active B cell responses in patients receiving successful treatment and, in turn, develop a portfolio of antibody therapeutics against novel tumor targets with the potential to treat large patient populations. Atreca seeks talented, driven individuals who are dedicated to making a positive impact on human health and are motivated to become key members of a growing biotechnology company.

Position Summary

We are seeking a talented Data Analyst to design and develop reports and analyses from our R&D database. The information you deliver will drive key research and development decisions by scientific stakeholders. Your strong communication skills and scientific knowledge will enable you to work collaboratively with a diversity of cross functional scientific team members to develop meaningful, rich views of drug discovery data. In addition to directly creating such views using your expertise with reporting tools such as R markdown or shiny apps, you will serve as a liaison between the research team and the software engineering team, providing project management support and writing specifications for any engineering work required in support of reporting.",4.1,Atreca,"South San Francisco, CA",51 to 200 Employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD)
"Data Scientist, Sensor Analytics",$110K - $174K (Glassdoor est.),"City: Palo Alto, Cary
State/Province: California, North Carolina
Country: United States
Department: Research & Development
Date: Friday, March 5, 2021
Working time: Full-time
Ref#: 20010667
Job Level: Individual Contributor",3.3,Xerox,"Palo Alto, CA","10000+ Employees
Founded
1906",1906,Company - Public,IT Services,Information Technology,$10+ billion (USD)
Data Scientist in Remote Mental Healthcare,$110K - $174K (Glassdoor est.),"Data Scientist at Brightside

Around 20% of Americans experience depression and/or anxiety each year, yet fewer than half of people with depression get care and only a fraction of those who receive care get even minimally adequate treatment.

Brightside (www.brightside.com) offers expert, best practice, personalized care for depression and anxiety, from the comfort of home. We use over 100 data points about each patient and our PrecisionRx tool to determine the medication thats best, then closely measure and monitor at each step, adjusting medication and dose until its just right. We have a massive and unique data set about depression and anxiety treatments and outcomes.

Were getting phenomenal results: 83% of Brightside members experience a clinically significant symptom reduction and 60% achieve remission levels within 12 weeks. Our mission is to deliver life changing depression and anxiety care to everyone who needs it.

But theres so much more we can do with data to deliver better care and better outcomes to people in need. We can help our members (patients), therapists, and doctors make the most informed decisions at every step in the care cycle, helping each individual get the right treatment and the best results.

Were looking for an outstanding data scientist to help us make it all happen, managing the entire process to deliver impactful clinical decision support that fundamentally changes antidepressant prescribing and clinical outcomes.

This is a chance to have an important role in an innovative and transformative healthcare company and to positively impact millions of lives.



Lead the development of advanced clinical decision support and other solutions, including planning, design, execution, validation, deployment, and maintenance
Design and build statistical algorithms and machine learning models to supportive effective clinical decision making on the Brightside platform
Carry out first-principles exploratory analysis of our data set
Work with engineering to deploy algorithms and models into robust production models
Collaborate with designers to determine intuitive and elegant ways of surfacing algorithmic insights to clinicians



MS or Ph.D. degree in Computer Science with a concentration on Artificial Intelligence, Maching Learning, or Statistics.
Strong demonstrated expertise in designing, building and deploying statistical algorithms and machine learning models.
Expert knowledge of SQL and database operations.
Experience with distributed processing methods and ETL systems.
Experience with the use of Python to work with large data sets within modern data science frameworks
Are capable of working with engineers to build actual production implementations using machine learning and artificial intelligence.
Strong communication skills to present insights and summarizing complex data to diverse audiences.



Experience with HIPAA-compliant environments
Familiarity with ML/AI workflows (ie. Airflow, Kubeflow, etc)
Prior startup experience



$160,000 - $200,000 annualized salary based on experience
Platinum healthcare, vision and dental
Meaningful impact, great people, balanced life, positive and progressive culture.
Work remotely and whatever schedule works best for you. We care about results, not 9-5.
Unlimited vacation policy
Hardware and tools of your choice



Please do not email or call our support channel about this position.
Staff must schedule at least 4 hours/day between 9am-5pm Pacific.
Please include a note to your application about why you think Brightside's mission is right for you.

We know that diversity makes for the best problem-solving and creative thinking, and are committed to equity and inclusion. We are dedicated to adding new perspectives to the team and encourage everyone to apply if your experience is close to what we are looking for. We’re an Equal Opportunity Employer and do not discriminate on the basis of race, color, gender, sexual orientation, gender identity or expression, age, religion, disability, national origin, protected veteran status, or any other status protected by applicable federal, state, or local law.

Powered by JazzHR",5.0,Brightside Health,"Los Angeles, CA","51 to 200 Employees
Founded
2018",2018,Self-employed,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Scientist in Remote Mental Healthcare,$110K - $174K (Glassdoor est.),"Data Scientist at Brightside

Around 20% of Americans experience depression and/or anxiety each year, yet fewer than half of people with depression get care and only a fraction of those who receive care get even minimally adequate treatment.

Brightside (www.brightside.com) offers expert, best practice, personalized care for depression and anxiety, from the comfort of home. We use over 100 data points about each patient and our PrecisionRx tool to determine the medication thats best, then closely measure and monitor at each step, adjusting medication and dose until its just right. We have a massive and unique data set about depression and anxiety treatments and outcomes.

Were getting phenomenal results: 83% of Brightside members experience a clinically significant symptom reduction and 60% achieve remission levels within 12 weeks. Our mission is to deliver life changing depression and anxiety care to everyone who needs it.

But theres so much more we can do with data to deliver better care and better outcomes to people in need. We can help our members (patients), therapists, and doctors make the most informed decisions at every step in the care cycle, helping each individual get the right treatment and the best results.

Were looking for an outstanding data scientist to help us make it all happen, managing the entire process to deliver impactful clinical decision support that fundamentally changes antidepressant prescribing and clinical outcomes.

This is a chance to have an important role in an innovative and transformative healthcare company and to positively impact millions of lives.



Lead the development of advanced clinical decision support and other solutions, including planning, design, execution, validation, deployment, and maintenance
Design and build statistical algorithms and machine learning models to supportive effective clinical decision making on the Brightside platform
Carry out first-principles exploratory analysis of our data set
Work with engineering to deploy algorithms and models into robust production models
Collaborate with designers to determine intuitive and elegant ways of surfacing algorithmic insights to clinicians



MS or Ph.D. degree in Computer Science with a concentration on Artificial Intelligence, Maching Learning, or Statistics.
Strong demonstrated expertise in designing, building and deploying statistical algorithms and machine learning models.
Expert knowledge of SQL and database operations.
Experience with distributed processing methods and ETL systems.
Experience with the use of Python to work with large data sets within modern data science frameworks
Are capable of working with engineers to build actual production implementations using machine learning and artificial intelligence.
Strong communication skills to present insights and summarizing complex data to diverse audiences.



Experience with HIPAA-compliant environments
Familiarity with ML/AI workflows (ie. Airflow, Kubeflow, etc)
Prior startup experience



$160,000 - $200,000 annualized salary based on experience
Platinum healthcare, vision and dental
Meaningful impact, great people, balanced life, positive and progressive culture.
Work remotely and whatever schedule works best for you. We care about results, not 9-5.
Unlimited vacation policy
Hardware and tools of your choice



Please do not email or call our support channel about this position.
Staff must schedule at least 4 hours/day between 9am-5pm Pacific.
Please include a note to your application about why you think Brightside's mission is right for you.

We know that diversity makes for the best problem-solving and creative thinking, and are committed to equity and inclusion. We are dedicated to adding new perspectives to the team and encourage everyone to apply if your experience is close to what we are looking for. We’re an Equal Opportunity Employer and do not discriminate on the basis of race, color, gender, sexual orientation, gender identity or expression, age, religion, disability, national origin, protected veteran status, or any other status protected by applicable federal, state, or local law.

Powered by JazzHR",5.0,Brightside Health,"Los Angeles, CA",Unknown,-1,-1,-1,-1,Unknown / Non-Applicable
Full Stack Data Scientist,$110K - $174K (Glassdoor est.),"Who We Are:
Sensor Tower is the leading solution for mobile marketers, app developers, and industry analysts who demand superior competitive insights into the mobile market economy.

We serve independent and Fortune 500 customers alike, spanning the mobile games, travel & hospitality, music, finance, and broadcast entertainment markets. Our suite of products consist of free, “SMB”, and Enterprise-tiered solutions including Store Intelligence, Usage Intelligence, Ad Intelligence, and App Intelligence.

We are a privately held company headquartered in San Francisco and was a member of AngelPad’s startup incubator program in 2013. Our insights are cited by the world’s leading news and finance publications, including the Wall Street Journal, The New York Times, Forbes, Fortune, Bloomberg, CNBC, The Washington Post, and Reuters.",4.2,Sensor Tower,"Los Angeles, CA","51 to 200 Employees
Founded
2013",2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Full Stack Data Scientist,$110K - $174K (Glassdoor est.),"Who We Are:
Sensor Tower is the leading solution for mobile marketers, app developers, and industry analysts who demand superior competitive insights into the mobile market economy.

We serve independent and Fortune 500 customers alike, spanning the mobile games, travel & hospitality, music, finance, and broadcast entertainment markets. Our suite of products consist of free, “SMB”, and Enterprise-tiered solutions including Store Intelligence, Usage Intelligence, Ad Intelligence, and App Intelligence.

We are a privately held company headquartered in San Francisco and was a member of AngelPad’s startup incubator program in 2013. Our insights are cited by the world’s leading news and finance publications, including the Wall Street Journal, The New York Times, Forbes, Fortune, Bloomberg, CNBC, The Washington Post, and Reuters.",4.2,Sensor Tower,"Los Angeles, CA","51 to 200 Employees
Founded
2013",2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Data Scientist/ML Engineer,$110K - $174K (Glassdoor est.),"AIC Talent Solutions is seeking qualified candidates for a Data Scientist/Machine Learning Engineer in Palo Alto, CA. This is a 6-month contract with excellent potential for long term extension or contract to hire. Green Card or US Citizens only as no sponsorship is available for this role.
The ideal candidate will have a strong knowledge of ML, NLP, Deep Learning, Knowledge Graphs and have experience working with massive amounts of data. They should also have strong software engineering skills and the ability to build systems that reach enterprise-level scale.
Data Scientist/Machine Learning Engineer - Role Responsibilities:
Build and train production grade ML models on large-scale datasets to solve various business use cases for Commercial Banking.",3.2,ACS Group,"Palo Alto, CA",501 to 1000 Employees,-1,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD)
Product Data Scientist - Ads Data Science,$110K - $174K (Glassdoor est.),"Job Description

Who We Are:

The team is responsible for placing each and every ad that Twitter serves. While placing those ads we decide how best to balance user experience, advertiser results, and Twitter revenue. Our team optimizes supply/demand, operation points and trade-offs for the ads marketplace, as well as improve product outcomes by applying data science.

What You’ll Do:

We’re looking for a key individual contributor to drive our advertising products forward. We decide which ads to serve billions of times a day under a sub-second setting. You will ship new features and optimize existing products. You will perform rigorous analysis, understand our advertising products, experiment, make data-driven decisions, optimize for impact, and measure performance funnels.

Your team will empower you with the autonomy to make good product decisions and discover/understand the software and product stack. You’ll own significant projects end-to-end. The small teams of talented, passionate people in which you’ll work will include engineers and data scientists from across the revenue engineering organization. We work on every high-priority ads project at Twitter.

Qualifications
Additional Information

We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status.

San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",4.1,Twitter,"San Francisco, CA","1001 to 5000 Employees
Founded
2006",2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD)
Product Data Scientist - Ads Data Science,$110K - $174K (Glassdoor est.),"Job Description

Who We Are:

The team is responsible for placing each and every ad that Twitter serves. While placing those ads we decide how best to balance user experience, advertiser results, and Twitter revenue. Our team optimizes supply/demand, operation points and trade-offs for the ads marketplace, as well as improve product outcomes by applying data science.

What You’ll Do:

We’re looking for a key individual contributor to drive our advertising products forward. We decide which ads to serve billions of times a day under a sub-second setting. You will ship new features and optimize existing products. You will perform rigorous analysis, understand our advertising products, experiment, make data-driven decisions, optimize for impact, and measure performance funnels.

Your team will empower you with the autonomy to make good product decisions and discover/understand the software and product stack. You’ll own significant projects end-to-end. The small teams of talented, passionate people in which you’ll work will include engineers and data scientists from across the revenue engineering organization. We work on every high-priority ads project at Twitter.

Qualifications
Additional Information

We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status.

San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",4.1,Twitter,"San Francisco, CA","1001 to 5000 Employees
Founded
2006",2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist - Machine Learning,$110K - $174K (Glassdoor est.),"We believe the way people interact with their finances will drastically improve in the next few years. We’re dedicated to empowering this transformation by building the tools and infrastructure developers need to create their own products. Today, thousands of companies such as Acorns, Stripe, and Venmo rely on Plaid to connect with the financial system; supporting millions of requests per day and thousands of bank integrations. Our goal is to give people more control over their finances and unlock financial freedom for everyone.

Plaid’s data science team is building models that improve how millions of users understand and grow their financial lives. We're looking for data scientists with experience applying state-of-the-art machine learning and modeling techniques - including natural language processing, anomaly detection, optimization, and time series forecasting - toward different product areas. We value not only technical know-how, but also creativity, user empathy, and teamwork.

You’ll be a data scientist embedded on the Financial Identity Team (FIT). When an individual applies for a loan, the lender needs to verify that a person’s income, which oftentimes requires a manual review step adding in an extra burdensome step. FIT is working closely with lenders to automate this process by verifying the person's income based on information submitted and their bank transaction information, allowing their income to quickly be verified. As a data scientist on FIT, you’ll be building models that help improve this verification process.",4.0,Plaid,"San Francisco, CA",1 to 50 Employees,-1,-1,-1,-1,Less than $1 million (USD)
Data Scientist,$110K - $174K (Glassdoor est.),"Our vision is to build the next-generation platform for fast, easy creation of audio and video content, using a revolutionary way to edit powered by cutting-edge AI. As we scale, it is imperative to drive data informed strategy.

We are looking for an experienced and accomplished product data scientist who will help us solve complex problems across our various business functions to increase customer engagement and drive more innovation in the product.

If you love the idea of being one of the first people at a small, growing startup, working closely with the CEO and the rest of the team to lay the foundation upon which the company grows, powering through ambiguity and limited resources - armed only with autonomy and a lot of different hats to wear - and if you're passionate about audio/video content, this may be the job for you.",-1,Descript,"San Francisco, CA","1 to 50 Employees
Founded
2017",2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$110K - $174K (Glassdoor est.),"Our vision is to build the next-generation platform for fast, easy creation of audio and video content, using a revolutionary way to edit powered by cutting-edge AI. As we scale, it is imperative to drive data informed strategy.

We are looking for an experienced and accomplished product data scientist who will help us solve complex problems across our various business functions to increase customer engagement and drive more innovation in the product.

If you love the idea of being one of the first people at a small, growing startup, working closely with the CEO and the rest of the team to lay the foundation upon which the company grows, powering through ambiguity and limited resources - armed only with autonomy and a lot of different hats to wear - and if you're passionate about audio/video content, this may be the job for you.",2.8,Descript,"San Francisco, CA","201 to 500 Employees
Founded
1969",1969,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Energy Services Data Scientist,$110K - $174K (Glassdoor est.),"Overview:
Who We Are:
As the nation’s largest residential Solar/CleanTech company, Sunrun is on a mission to transform our energy system into the modern and sustainable grid of the future while making clean, renewable energy, accessible to all residential households.

To realize this vision, Sunrun is developing advanced technologies, products and services designed to reinvent the way people power their homes. We are actively hiring world-class talent in our Energy Services product team focused on expanding our platform to connect Sunrun, utilities and the consumer. You'll work alongside other passionate designers, engineers and product managers engaged in the design and development of a product that is making a positive impact on our world.

If you are (1) passionate about energy-related analytics, optimization, program operations and product development; (2) execution oriented; and (3) motivated by solving one of the biggest challenges of our time, then join us. Together we will disrupt a 100-year-old carbon intensive industry and advance Sunrun’s mission of creating a planet run by the sun.

Responsibilities:

Qualifications:

Solar Careers For All:",3.5,Sunrun,"San Francisco, CA","5001 to 10000 Employees
Founded
2007",2007,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
Data Scientist (CS-44),$118K - $185K (Glassdoor est.),"Capella is at the forefront of making vital information about our world accessible in a timely manner. We’re leveraging proven technologies and building new capabilities to create a constellation of earth observation radar satellites that can collect information about any spot on the planet within an hour.

At Capella you’ll work in a collaborative team environment, alongside smart people with a history of space mission success. No prior space experience is needed—we’re looking for people excited about tackling seemingly impossible challenges, learning new skills and concepts, and helping each other achieve success.

Our mission and our products are meant to understand the whole world and help everyone in it, regardless of race, creed, or any other distinction. We believe in a diverse and inclusive workplace, and we encourage all people to join our team and bring their unique perspective to help make us stronger. We value diversity at Capella and welcome applications from those who are traditionally underrepresented in tech. If you like the sound of this position but are not sure if you are the perfect fit, please apply!



Capella Space is building an industry transforming SAR data platform with the ability to request and receive high quality SAR imagery in a matter of minutes instead of weeks. As a Data Scientist, you will be working with the Product Engineering group that includes Data Science team in an agile environment to plan and achieve sprint goals. The Data Science Engineers build analytics products using the SAR and other satellite image data/information.

The Data Scientist will:
:


In addition to an opportunity to take part in an innovative and fast-growing business with a highly motivated and skilled team, we also take pride in taking care of our employees. Here are just a few ways that we show our appreciation:",4.6,Capella Space,"San Francisco, CA",1 to 50 Employees,-1,-1,-1,-1,Unknown / Non-Applicable
Data Scientist (CS-44),$118K - $185K (Glassdoor est.),"Capella is at the forefront of making vital information about our world accessible in a timely manner. We’re leveraging proven technologies and building new capabilities to create a constellation of earth observation radar satellites that can collect information about any spot on the planet within an hour.

At Capella you’ll work in a collaborative team environment, alongside smart people with a history of space mission success. No prior space experience is needed—we’re looking for people excited about tackling seemingly impossible challenges, learning new skills and concepts, and helping each other achieve success.

Our mission and our products are meant to understand the whole world and help everyone in it, regardless of race, creed, or any other distinction. We believe in a diverse and inclusive workplace, and we encourage all people to join our team and bring their unique perspective to help make us stronger. We value diversity at Capella and welcome applications from those who are traditionally underrepresented in tech. If you like the sound of this position but are not sure if you are the perfect fit, please apply!



Capella Space is building an industry transforming SAR data platform with the ability to request and receive high quality SAR imagery in a matter of minutes instead of weeks. As a Data Scientist, you will be working with the Product Engineering group that includes Data Science team in an agile environment to plan and achieve sprint goals. The Data Science Engineers build analytics products using the SAR and other satellite image data/information.

The Data Scientist will:
:


In addition to an opportunity to take part in an innovative and fast-growing business with a highly motivated and skilled team, we also take pride in taking care of our employees. Here are just a few ways that we show our appreciation:",4.6,Capella Space,"San Francisco, CA",1 to 50 Employees,-1,-1,-1,-1,Unknown / Non-Applicable
Data Scientist,$118K - $185K (Glassdoor est.),"Data Scientist

What is Syncroness?

Syncroness provides inspired solutions to highly complex business and technical problems. We focus on accelerating time-to-market and ensuring a profitable outcome for our clients.

By providing a full complement of engineering services aligned to the entire product lifecycle, Syncroness enables companies to accelerate product development and drive more predictability and productivity into their businesses. Working with Syncroness, companies gain the critical insights necessary to develop products that make a difference and create a better world.

We provide proven value and predictable results in demanding and regulated markets by employing our core competencies in:


We are looking for a Data Scientist to design and implement data based services for our next generation systems. Our future product will involve the use of big data to improve and advance our product offering. We will utilize big data to create new product and service ideas, study the feasibility and work with other data scientists to create new idea and propose to our customer. We are at the leading edge of technology and we are pushing forward the state of the art. If you are enthusiastic about how to utilize big data and building awesome applications, energized by creating something new and solving technical challenges, then come join our team.

Syncroness is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, among other things, or status as a qualified individual with disability.",4.2,Syncroness,"San Diego, CA","51 to 200 Employees
Founded
1998",1998,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
Data Scientist / Software Engineer (Prognostics),$118K - $185K (Glassdoor est.),"Data is deeply embedded in the product and engineering culture at Tesla. We rely on data – lots of it – to improve autopilot, to optimize hardware designs, to proactively detect faults, and to optimize load on the electrical grid. We collect data from each of our cars, superchargers, and energy products and use it to make these products better and our customers safer.
We're the Fleet Analytics team, a small but fast-growing central team that helps many teams leverage the data we collect. We help engineers through direct support by doing data analysis for them and through applications and tools so they can self-serve those analyses in the future. To do so, we leverage the internal big data platform that is built on top of Kafka, Spark, Presto and data science tools such as Jupyter notebooks, Pandas, Bokeh, Superset and Airflow.
We're looking for an experienced engineer to join us. This foundational member will provide leadership in the definition and implementation of processes and tools that enable Tesla's data science.

Responsibilities

Requirements

Nice to have",3.8,Tesla,"Palo Alto, CA","10000+ Employees
Founded
2003",2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Scientist - Marketing,$118K - $185K (Glassdoor est.),"About Us
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog.
About the Role
The Marketing team at Twitch is looking for an outstanding Data Scientist with demonstrated experience delivering insights from complex data. You will guide growth in areas that are underserved in marketing like campaign attribution, media mix modeling and other similar problems, creating strategies to re-engage and excite existing viewers while also finding new avenues to profitably acquire new viewers. You will combine domain-knowledge with data-science skills to work with these challenges and many more like them and help implement scalable solutions. You will report into the Marketing Science & Analytics team.",3.9,Twitch,"San Francisco, CA","1001 to 5000 Employees
Founded
2011",2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable
